time_interval,no_of_instances
0,300
3,66450
6,1
9,1
12,4299
15,8375
18,14431
21,29231
24,26181
27,62225
30,16371
33,13337
36,24957
39,22465
42,33509
45,27614
48,37844
51,29999
54,18792
57,97007
60,69360
63,58208
66,30980
69,24095
72,15465
75,47854
78,28770
81,31513
84,8024
87,21380
90,20513
93,19727
96,8616
99,21318
102,59174
105,11699
108,32231
111,12084
114,32034
117,33136
120,49765
123,54757
126,95694
129,23541
132,6002
135,4667
138,30193
141,77322
144,7434
147,5601
150,19395
153,16847
156,47515
159,37272
162,46597
165,11486
168,45456
171,43106
174,39493
177,76652
180,52900
183,17585
186,59317
189,5150
192,4376
195,42933
198,59398
201,48180
204,42183
207,14211
210,13021
213,30710
216,11928
219,12740
222,37376
225,41045
228,52461
231,46252
234,58242
237,10176
240,22349
243,13912
246,23091
249,50146
252,38168
255,64517
258,54856
261,29958
264,26832
267,5569
270,26719
273,9405
276,24297
279,41404
282,28757
285,16047
288,62489
291,58318
294,28864
297,37374
300,12757
303,31646
306,66641
309,126806
312,35567
315,11270
318,15361
321,30186
324,17548
327,20571
330,26154
333,18873
336,918
339,773
342,1789
345,16304
348,40339
351,28245
354,60707
357,22611
360,30905
363,18323
366,142154
369,873
372,1846
375,12247
378,94325
381,72507
384,3943
387,6292
390,23554
393,46424
396,30066
399,10397
402,11868
405,64454
408,18594
411,2969
414,12733
417,92343
420,51790
423,30244
426,28365
429,38503
432,10776
435,57886
438,24907
441,40031
444,16433
447,19428
450,45368
453,29980
456,12016
459,15990
462,12670
465,22035
468,28741
471,35414
474,10341
477,28750
480,17004
483,57959
486,58835
489,15115
492,18
495,10754
498,9446
501,21531
504,22431
507,14152
510,35097
513,39840
516,8054
519,14702
522,10337
525,6328
528,52727
531,31366
534,35574
537,15513
540,91827
543,12130
546,42528
549,2308
552,26047
555,2794
558,6917
561,19870
564,8506
567,23612
570,39105
573,30508
576,6647
579,3853
582,33155
585,12295
588,15017
591,12407
594,26772
597,13421
600,27933
603,24248
606,9403
609,27316
612,26894
615,17455
618,55126
621,4087
624,24162
627,10927
630,44160
633,52160
636,9281
639,21783
642,25457
645,26051
648,25283
651,14035
654,15388
657,18667
660,17179
663,36142
666,21670
669,30017
672,50175
675,32833
678,3486
681,23640
684,15839
687,30368
690,15484
693,29322
696,33343
699,21100
702,55211
705,53157
708,64017
